ID,Nama,Kode,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,Cat_X12,ZX12,PRE_1,RES_1
6,Kings,NY,71,2300664,28.3,12.4,4861,8942,680966,63.7,16.6,19.5,9.5,16803,38658,1,2,-0.43321,16909.06187,-106.06187
11,Philadelphia,PA,135,1585577,29.1,15.2,6641,10494,109148,64.3,15.2,16.1,8.0,16721,26512,1,2,-0.45341,16392.81158,328.18842
16,Middlesex,MA,824,1398468,31.7,12.5,5158,4152,35825,84.3,35.4,4.2,7.3,25312,35398,1,3,1.66302,23841.56570,1470.43430
17,Allegheny,PA,730,1336449,26.2,17.4,5281,8436,50186,79.0,22.6,8.7,5.3,20681,27639,1,2,0.52215,19121.56309,1559.43691
18,Suffolk,NY,911,1321864,27.9,10.8,3021,3904,66723,82.2,23.0,3.3,7.0,24262,32071,1,3,1.40435,19269.06318,4992.93682
19,Nassau,NY,287,1287348,25.7,14.2,6147,5200,43203,84.2,30.0,2.5,5.1,31679,40782,1,4,3.23156,21850.31460,9828.68540
29,Erie,NY,1045,968532,27.3,15.2,2748,4632,55306,76.4,20.0,9.4,6.8,18305,17729,1,2,-0.06319,18162.81256,142.18744
32,Westchester,NY,433,874866,26.3,14.4,4577,3540,37118,81.0,35.3,4.7,5.4,33330,29159,1,4,3.63829,23804.69068,9525.30932
35,Hartford,CT,736,851783,28.3,14.1,2851,2940,51926,77.7,25.8,6.0,6.9,24875,21188,1,3,1.55536,20301.56375,4573.43625
39,Fairfield,CT,626,827645,26.7,13.3,2417,2494,44374,81.0,34.2,4.5,5.9,32342,26768,1,4,3.39489,23399.06546,8942.93454
41,Bergen,NJ,234,825380,25.4,15.3,3226,2279,28521,81.6,31.7,2.7,5.2,32230,26602,1,4,3.36730,22477.18995,9752.81005
43,New_Haven,CT,606,804219,28.7,14.7,3161,2486,52903,77.5,24.2,6.0,7.3,22197,17851,1,2,0.89563,19711.56342,2485.43658
47,Essex,NJ,126,778206,28.6,12.7,2811,4841,75595,70.1,24.0,11.3,7.9,24523,19084,1,3,1.46865,19637.81338,4885.18662
55,Monroe,NY,659,713968,29.0,12.5,2438,3077,43780,80.1,26.3,7.7,4.4,21641,15451,1,2,0.75865,20485.93885,1155.06115
