ID,Nama,Kode,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,Cat_X12,ZX12,PRE_1,RES_1
418,Olmsted,MN,653,106470,29.3,10.0,1814,1437,4310,88.0,29.5,4.5,3.3,20515,2184,2,2,0.48126,21665.93950,-1150.93950
181,Adams,CO,1192,265038,29.6,7.6,439,318,19369,78.8,13.0,8.8,5.0,16116,4271,4,2,-0.60246,15581.56114,534.43886
208,Santa_Cruz,CA,446,229734,29.9,11.3,429,390,13707,81.9,29.7,6.2,8.0,22025,5060,4,2,0.85325,21739.68954,285.31046
309,Penobscot,ME,3396,146601,30.0,11.5,268,598,4749,79.1,17.7,9.5,8.0,15521,2275,1,1,-0.74904,17314.68709,-1793.68709
7,Maricopa,AZ,9204,2122101,29.2,12.5,4320,6104,177593,81.5,22.1,8.8,4.9,18042,38287,4,2,-0.12798,18937.18799,-895.18799
415,Yuma,AZ,5514,106895,27.4,13.8,118,197,5414,64.9,12.7,15.4,17.8,11490,1228,4,1,-1.74209,15470.93607,-3980.93607
183,Collin,TX,848,264036,29.8,5.3,282,571,17625,88.3,39.1,3.9,5.9,22303,5889,3,2,0.92174,25205.94146,-2902.94146
421,Androscoggin,ME,470,105259,27.9,13.4,198,527,4020,71.8,12.6,8.7,9.7,16154,1700,1,2,-0.59309,15434.06105,719.93895
369,New_Hanover,NC,199,120284,29.0,12.5,297,554,11892,78.1,21.2,9.9,5.9,17119,2059,3,2,-0.35536,18605.31281,-1486.31281
216,Kalamazoo,MI,562,223411,32.4,10.6,614,793,15306,83.4,27.1,8.9,5.9,18288,4086,2,2,-0.06737,20780.93901,-2492.93901
206,Marin,CA,520,230096,24.7,12.3,1001,488,9460,91.9,44.0,3.0,4.0,37541,8638,4,4,4.67569,27012.81746,10528.18254
55,Monroe,NY,659,713968,29.0,12.5,2438,3077,43780,80.1,26.3,7.7,4.4,21641,15451,1,2,0.75865,20485.93885,1155.06115
334,Dona_Ana,NM,3807,135510,31.4,8.8,171,240,8850,70.4,21.9,20.7,7.4,11379,1542,4,1,-1.76944,18863.43795,-7484.43795
64,Fresno,CA,5963,667490,28.3,10.4,1188,1681,62004,66.2,16.9,16.8,12.6,16365,10923,4,2,-0.54111,17019.68693,-654.68693
